precision,recall,fbeta,feature,value
0.7184724689165186,0.5541095890410959,0.6256767208043309,workclass,Private
0.711340206185567,0.7040816326530612,0.7076923076923078,workclass,Local-gov
0.676056338028169,0.42105263157894735,0.518918918918919,workclass,Self-emp-not-inc
0.7647058823529411,0.7222222222222222,0.7428571428571428,workclass,State-gov
0.7798165137614679,0.7657657657657657,0.7727272727272727,workclass,Federal-gov
0.7475728155339806,0.8148148148148148,0.779746835443038,workclass,Self-emp-inc
1.0,1.0,1.0,workclass,Without-pay
0.6033519553072626,0.2236024844720497,0.32628398791540786,education,HS-grad
0.7676767676767676,0.9382716049382716,0.8444444444444444,education,Doctorate
0.6482758620689655,0.44761904761904764,0.5295774647887324,education,Some-college
0.7202216066481995,0.8163265306122449,0.7652685798381162,education,Bachelors
0.3333333333333333,0.058823529411764705,0.1,education,10th
0.6727272727272727,0.5362318840579711,0.5967741935483871,education,Assoc-acdm
1.0,0.125,0.2222222222222222,education,12th
0.0,0.0,0.0,education,7th-8th
0.7368421052631579,0.4158415841584158,0.5316455696202531,education,Assoc-voc
0.8106312292358804,0.8591549295774648,0.8341880341880342,education,Masters
1.0,0.0,0.0,education,9th
0.3333333333333333,0.06666666666666667,0.1111111111111111,education,11th
1.0,0.0,0.0,education,5th-6th
0.8543046357615894,0.9626865671641791,0.9052631578947369,education,Prof-school
1.0,0.0,0.0,education,1st-4th
1.0,1.0,1.0,education,Preschool
0.7270163564579808,0.6579887697805002,0.6907824222936763,marital-status,Married-civ-spouse
0.6578947368421053,0.176056338028169,0.27777777777777773,marital-status,Never-married
0.2,0.06666666666666667,0.1,marital-status,Widowed
0.6571428571428571,0.1796875,0.2822085889570552,marital-status,Divorced
0.8571428571428571,0.375,0.5217391304347825,marital-status,Separated
1.0,0.23076923076923078,0.375,marital-status,Married-spouse-absent
0.0,0.0,0.0,marital-status,Married-AF-spouse
0.5454545454545454,0.07317073170731707,0.12903225806451613,occupation,Machine-op-inspct
0.7706270627062707,0.7982905982905983,0.7842149454240135,occupation,Exec-managerial
0.6561264822134387,0.5496688741721855,0.5981981981981982,occupation,Sales
0.5,0.05,0.09090909090909091,occupation,Farming-fishing
0.0,0.0,0.0,occupation,Handlers-cleaners
0.6,0.1839080459770115,0.28152492668621704,occupation,Craft-repair
0.6623376623376623,0.6710526315789473,0.6666666666666666,occupation,Tech-support
0.7192982456140351,0.5857142857142857,0.6456692913385826,occupation,Protective-serv
0.5,0.027777777777777776,0.05263157894736842,occupation,Other-service
0.7472868217054264,0.8382608695652174,0.7901639344262296,occupation,Prof-specialty
0.7058823529411765,0.43478260869565216,0.5381165919282511,occupation,Adm-clerical
0.5641025641025641,0.2558139534883721,0.35200000000000004,occupation,Transport-moving
1.0,1.0,1.0,occupation,Priv-house-serv
1.0,1.0,1.0,occupation,Armed-Forces
0.7286269430051814,0.6514186450492183,0.687863038826047,relationship,Husband
1.0,0.0,0.0,relationship,Own-child
0.6533333333333333,0.2024793388429752,0.30914826498422715,relationship,Not-in-family
0.6428571428571429,0.15789473684210525,0.25352112676056343,relationship,Unmarried
0.5,0.25,0.3333333333333333,relationship,Other-relative
0.72,0.7397260273972602,0.7297297297297296,relationship,Wife
0.7263710618436406,0.6037827352085354,0.659427966101695,race,White
0.7352941176470589,0.43103448275862066,0.5434782608695653,race,Black
0.5,0.16666666666666666,0.25,race,Other
1.0,0.5454545454545454,0.7058823529411764,race,Amer-Indian-Eskimo
0.625,0.569620253164557,0.5960264900662252,race,Asian-Pac-Islander
0.7260869565217392,0.6028880866425993,0.6587771203155819,sex,Male
0.7063492063492064,0.5313432835820896,0.606473594548552,sex,Female
0.7304347826086957,0.5949008498583569,0.6557377049180328,native-country,United-States
0.8333333333333334,0.35714285714285715,0.5,native-country,Mexico
0.7272727272727273,0.5714285714285714,0.64,native-country,Canada
0.0,0.0,0.0,native-country,Vietnam
